#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,python-aiosqlite," added 8/5/23"
,python-anyio," added 8/5/23"
,python-appdirs," added 8/5/23"
,python-argon2-cffi-bindings," added 8/5/23"
,python-argon2_cffi," added 8/5/23"
,python-arrow," added 8/5/23"
,python-asttokens," added 8/5/23"
,python-async-lru," added 8/5/23"
,python-attrs," added 8/5/23"
,python-autocommand," added 8/5/23"
,python-babel," added 8/5/23"
,python-backcall," added 8/5/23"
,python-beautifulsoup4," added 8/5/23"
,python-black," added 8/5/23"
,python-bleach," added 8/5/23"
,python-cachecontrol," added 8/5/23"
,python-cairo," added 8/5/23"
,python-certifi," added 8/5/23"
,python-cffi," added 8/5/23"
,python-chardet," added 8/5/23"
,python-click," added 8/5/23"
,python-colorama," added 8/5/23"
,python-comm," added 8/5/23"
,python-contourpy," added 8/5/23"
,python-coverage," added 8/5/23"
,python-cryptography," added 8/5/23"
,python-cssselect," added 8/5/23"
,python-cycler," added 8/5/23"
,python-dateutil," added 8/5/23"
,python-decorator," added 8/5/23"
,python-defusedxml," added 8/5/23"
,python-deprecation," added 8/5/23"
,python-distro," added 8/5/23"
,python-docopt," added 8/5/23"
,python-entrypoints," added 8/5/23"
,python-executing," added 8/5/23"
,python-fastjsonschema," added 8/5/23"
,python-filelock," added 8/5/23"
,python-flask," added 8/5/23"
,python-flask-cors," added 8/5/23"
,python-fonttools," added 8/5/23"
,python-fqdn," added 8/5/23"
,python-gobject," added 8/5/23"
,python-helpdev," added 8/5/23"
,python-idna," added 8/5/23"
,python-importlib-metadata," added 8/5/23"
,python-inflect," added 8/5/23"
,python-installer," added 8/5/23"
,python-ipykernel," added 8/5/23"
,python-ipython-genutils," added 8/5/23"
,python-isoduration," added 8/5/23"
,python-itsdangerous," added 8/5/23"
,python-jaraco.context," added 8/5/23"
,python-jaraco.functools," added 8/5/23"
,python-jaraco.text," added 8/5/23"
,python-jedi," added 8/5/23"
,python-jinja," added 8/5/23"
,python-json-logger," added 8/5/23"
,python-json5," added 8/5/23"
,python-jsonpointer," added 8/5/23"
,python-jsonschema," added 8/5/23"
,python-jsonschema-specifications," added 8/5/23"
,python-jupyter-client," added 8/5/23"
,python-jupyter-core," added 8/5/23"
,python-jupyter-events," added 8/5/23"
,python-jupyter-packaging," added 8/5/23"
,python-jupyter-server-terminals," added 8/5/23"
,python-jupyter-ydoc," added 8/5/23"
,python-jupyterlab-server," added 8/5/23"
,python-kiwisolver," added 8/5/23"
,python-lockfile," added 8/5/23"
,python-lxml," added 8/5/23"
,python-markdown," added 8/5/23"
,python-markdown-it-py," added 8/5/23"
,python-markupsafe," added 8/5/23"
,python-matplotlib," added 8/5/23"
,python-matplotlib-inline," added 8/5/23"
,python-mdurl," added 8/5/23"
,python-mistune," added 8/5/23"
